"AwardCeremony","Winner.Y","Winner.N","Nominee.Y","Nominee.N"
"01-1929",0,10,0,0
"02-1930",0,7,0,0
"03-1930",0,6,0,0
"04-1931",0,6,0,0
"05-1932",1,9,0,0
"06-1934",1,8,0,0
"07-1935",0,11,0,0
"08-1936",0,14,0,0
"09-1937",1,12,0,0
"10-1938",1,14,0,0
"11-1939",1,12,0,0
"12-1940",3,8,0,0
"13-1941",3,13,0,0
"14-1942",3,14,0,0
"15-1943",1,18,0,0
"16-1944",1,17,0,0
"17-1945",1,12,0,0
"18-1946",2,18,0,0
"19-1947",2,12,0,0
"20-1948",2,15,0,0
"21-1949",2,15,0,0
"22-1950",0,19,0,0
"23-1951",2,15,0,0
"24-1952",3,10,0,0
"25-1953",0,16,0,0
"26-1954",2,14,0,0
"27-1955",2,14,0,0
"28-1956",2,15,0,0
"29-1957",3,15,0,0
"30-1958",1,10,0,0
"31-1959",3,10,0,0
"32-1960",3,9,0,0
"33-1961",3,13,0,0
"34-1962",3,10,0,0
"35-1963",4,11,0,0
"36-1964",3,12,0,0
"37-1965",3,10,0,0
"38-1966",2,13,0,0
"39-1967",1,11,0,0
"40-1968",5,9,0,0
"41-1969",5,11,0,0
"42-1970",2,12,0,0
"43-1971",0,15,0,0
"44-1972",1,12,0,0
"45-1973",3,9,0,0
"46-1974",1,12,0,0
"47-1975",6,7,0,0
"48-1976",2,10,0,0
"49-1977",3,9,0,0
"50-1978",2,10,0,0
"51-1979",0,14,0,0
"52-1980",3,10,0,0
"53-1981",3,9,0,0
"54-1982",5,6,0,0
"55-1983",3,10,0,0
"56-1984",2,9,0,0
"57-1985",3,9,0,0
"58-1986",4,11,0,0
"59-1987",4,12,0,0
"60-1988",3,9,0,0
"61-1989",6,10,0,0
"62-1990",5,10,0,0
"63-1991",4,9,0,0
"64-1992",7,6,0,0
"65-1993",4,11,0,0
"66-1994",4,8,0,0
"67-1995",3,13,0,0
"68-1996",6,10,0,0
"69-1997",8,7,0,0
"70-1998",4,7,0,0
"71-1999",6,6,0,0
"72-2000",8,6,0,0
"73-2001",7,6,0,0
"74-2002",9,7,0,0
"75-2003",9,6,0,0
"76-2004",7,5,0,0
"77-2005",9,6,0,0
"78-2006",9,7,0,0
"79-2007",12,4,0,0
"80-2008",11,6,0,0
"81-2009",7,6,0,0
"82-2010",6,8,0,0
"83-2011",6,7,0,0
"84-2012",8,7,0,0
"85-2013",8,7,0,0
"86-2014",7,5,0,0
"87-2015",10,6,0,0
"88-2016",10,6,0,0
"89-2017",7,8,0,0
"90-2018",9,6,0,0
"91-2019",8,7,0,0
"92-2020",10,6,0,0
"93-2021",9,6,0,0
