"ItemYear","Y","N"
1927,0,7
1928,0,7
1929,0,4
1930,0,7
1931,1,9
1932,0,6
1933,0,8
1934,0,11
1935,0,14
1936,0,13
1937,1,12
1938,0,14
1939,2,9
1940,3,13
1941,2,17
1942,2,16
1943,0,17
1944,1,15
1945,0,20
1946,0,12
1947,1,15
1948,1,18
1949,0,19
1950,1,15
1951,3,9
1952,0,15
1953,2,17
1954,2,16
1955,2,13
1956,2,14
1957,0,12
1958,0,14
1959,3,8
1960,3,14
1961,2,13
1962,4,10
1963,0,15
1964,2,11
1965,2,13
1966,0,12
1967,3,11
1968,5,8
1969,2,15
1970,0,13
1971,0,14
1972,2,9
1973,1,10
1974,2,11
1975,2,9
1976,3,12
1977,1,11
1978,0,14
1979,2,12
1980,2,9
1981,3,8
1982,1,13
1983,2,7
1984,3,9
1985,2,16
1986,3,10
1987,3,10
1988,6,10
1989,4,12
1990,2,8
1991,4,10
1992,3,13
1993,3,9
1994,3,13
1995,5,10
1996,6,9
1997,4,9
1998,4,7
1999,5,8
2000,6,8
2001,9,7
2002,7,6
2003,7,7
2004,10,6
2005,7,8
2006,11,6
2007,10,6
2008,6,7
2009,5,7
2010,5,10
2011,7,6
2012,7,9
2013,6,9
2014,10,5
2015,8,6
2016,7,9
2017,9,5
2018,7,8
2019,11,6
2020,7,6
