Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1927/1928,1,Actress,1,Janet Gaynor,,7th Heaven,
1927/1928,1,Directing (Dramatic Picture),1,Frank Borzage,,7th Heaven,
1927/1928,1,Writing (Adaptation),1,Benjamin Glazer,,7th Heaven,
1927/1928,1,Unique and Artistic Picture,1,Sunrise,,Fox,
1927/1928,1,Writing (Title Writing),1,Joseph Farnham,,NA,NA
1927/1928,1,Outstanding Picture,1,Wings,,Paramount Famous Lasky,
1927/1928,1,Cinematography,1,Charles Rosher,,Sunrise,
1927/1928,1,Cinematography,1,Karl Struss,,Sunrise,
1927/1928,1,Special Award,1,Charles Chaplin,,The Circus,
1927/1928,1,Art Direction,1,William Cameron Menzies,,The Dove; Tempest,
1927/1928,1,Special Award,1,Warner Brothers,,The Jazz Singer,
1927/1928,1,Actor,1,Emil Jannings,,The Last Command,tt0019071
1927/1928,1,Directing (Comedy Picture),1,Lewis Milestone,,Two Arabian Knights,
1927/1928,1,Writing (Original Story),1,Ben Hecht,,Underworld,
1927/1928,1,Engineering Effects,1,Roy Pomeroy,,Wings,
1928/1929,2,Actress,1,Mary Pickford,,Coquette,
1928/1929,2,Actor,1,Warner Baxter,,In Old Arizona,
1928/1929,2,Outstanding Picture,1,The Broadway Melody,,Metro-Goldwyn-Mayer,
1928/1929,2,Art Direction,1,Cedric Gibbons,,The Bridge of San Luis Rey,
1928/1929,2,Directing,1,Frank Lloyd,,The Divine Lady,
1928/1929,2,Writing,1,Hans Kraly,,The Patriot,
1928/1929,2,Cinematography,1,Clyde De Vinna,,White Shadows in the South Seas,
1929/1930,3,Directing,1,Lewis Milestone,,All Quiet on the Western Front,
1929/1930,3,Outstanding Production,1,Universal,,All Quiet on the Western Front,
1929/1930,3,Actor,1,George Arliss,,Disraeli,
1929/1930,3,Art Direction,1,King of Jazz,,Herman Rosse,
1929/1930,3,Sound Recording,1,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",,The Big House,
1929/1930,3,Writing,1,Frances Marion,,The Big House,
1929/1930,3,Actress,1,Norma Shearer,,The Divorcee,
1929/1930,3,Cinematography,1,"Joseph T. Rucker, Willard Van Der Veer",,With Byrd at the South Pole,
1930/1931,4,Actor,1,Lionel Barrymore,,A Free Soul,
1930/1931,4,Outstanding Production,1,RKO Radio,,Cimarron,
1930/1931,4,Writing (Adaptation),1,Howard Estabrook,,Cimarron,
1930/1931,4,Art Direction,1,Cimarron,,Max Rée,
1930/1931,4,Actress,1,Marie Dressler,,Min and Bill,
1930/1931,4,Sound Recording,1,Paramount Publix Studio Sound Department,,NA,NA
1930/1931,4,Directing,1,Norman Taurog,,Skippy,
1930/1931,4,Cinematography,1,Floyd Crosby,,Tabu,
1930/1931,4,Writing (Original Story),1,John Monk Saunders,,The Dawn Patrol,
1931/1932,5,Special Award,1,Walt Disney,,“Mickey Mouse”,
1931/1932,5,Directing,1,Frank Borzage,,Bad Girl,
1931/1932,5,Writing (Adaptation),1,Edwin Burke,,Bad Girl,
1931/1932,5,Actor,1,Fredric March,,Dr. Jekyll and Mr. Hyde,
1931/1932,5,Short Subject (Cartoon),1,"Walt Disney, Producer",,Flowers and Trees,
1931/1932,5,Art Direction,1,Transatlantic,,Gordon Wiles,
1931/1932,5,Outstanding Production,1,Metro-Goldwyn-Mayer,,Grand Hotel,
1931/1932,5,Sound Recording,1,Paramount Publix Studio Sound Department,,NA,NA
1931/1932,5,Cinematography,1,Lee Garmes,,Shanghai Express,
1931/1932,5,Actor,1,Wallace Beery,,The Champ,
1931/1932,5,Writing (Original Story),1,Frances Marion,,The Champ,
1931/1932,5,Short Subject (Comedy),1,"Hal Roach, Producer",,The Music Box,
1931/1932,5,Actress,1,Helen Hayes,,The Sin of Madelon Claudet,
1931/1932,5,Short Subject (Novelty),1,"Mack Sennett, Producer",,Wrestling Swordfish,
1932/1933,6,Cinematography,1,"Charles Bryant Lang, Jr.",,A Farewell to Arms,
1932/1933,6,Sound Recording,1,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",,A Farewell to Arms,
1932/1933,6,Directing,1,Frank Lloyd,,Cavalcade,
1932/1933,6,Outstanding Production,1,Fox,,Cavalcade,
1932/1933,6,Short Subject (Novelty),1,"Joe Rock, Producer",,Krakatoa,
1932/1933,6,Writing (Adaptation),1,"Victor Heerman, Sarah Y. Mason",,Little Women,
1932/1933,6,Actress,1,Katharine Hepburn,,Morning Glory,
1932/1933,6,Assistant Director,1,William Tummel (Fox),,NA,NA
1932/1933,6,Assistant Director,1,Charles Dorian (Metro-Goldwyn-Mayer),,NA,NA
1932/1933,6,Assistant Director,1,Charles Barton (Paramount),,NA,NA
1932/1933,6,Assistant Director,1,Dewey Starkey (RKO Radio),,NA,NA
1932/1933,6,Assistant Director,1,Fred Fox (United Artists),,NA,NA
1932/1933,6,Assistant Director,1,Scott Beal (Universal),,NA,NA
1932/1933,6,Assistant Director,1,Gordon Hollingshead (Warner Brothers),,NA,NA
1932/1933,6,Writing (Original Story),1,Robert Lord,,One Way Passage,
1932/1933,6,Short Subject (Comedy),1,"Louis Brock, Producer",,So This Is Harris,
1932/1933,6,Actor,1,Charles Laughton,,The Private Life of Henry VIII,
1932/1933,6,Short Subject (Cartoon),1,"Walt Disney, Producer",,The Three Little Pigs,
1932/1933,6,Art Direction,1,Cavalcade,,William S. Darling,
1934,7,Short Subject (Novelty),1,"Stacy Woodard and Horace Woodard, Producers",,City of Wax,tt0024986
1934,7,Cinematography,1,Victor Milner,,Cleopatra,tt0024991
1934,7,Film Editing,1,Conrad Nervig,,Eskimo,tt0023990
1934,7,Actor,1,Clark Gable,,It Happened One Night,tt0025316
1934,7,Actress,1,Claudette Colbert,,It Happened One Night,tt0025316
1934,7,Directing,1,Frank Capra,,It Happened One Night,tt0025316
1934,7,Outstanding Production,1,Columbia,,It Happened One Night,tt0025316
1934,7,Writing (Adaptation),1,Robert Riskin,,It Happened One Night,tt0025316
1934,7,Short Subject (Comedy),1,"Kenneth Macgowan, Producer",,La Cucaracha,tt0025019
1934,7,Writing (Original Story),1,Arthur Caesar,,Manhattan Melodrama,tt0025464
1934,7,Special Award,1,Shirley Temple,,NA,NA
