"ItemYear","year_ceremony","ceremony","Award","AwardRecipient","ItemTitle","IMDBid","ItemRuntime"
1928,1928,1,"ACTOR","Emil Jannings (for two films)","The Last Command","tt0019071","88 min"
1927,1928,1,"ACTOR","Emil Jannings (for two films)","The Way of All Flesh","tt0019553","94 min"
1927,1928,1,"ACTRESS","Janet Gaynor (for two films)","7th Heaven","tt0018379","110 min"
1928,1928,1,"ACTRESS","Janet Gaynor (for two films)","Street Angel","tt0019429","102 min"
1927,1928,1,"ART DIRECTION","William Cameron Menzies (for two films)","The Dove","tt0017822","90 min"
1928,1928,1,"ART DIRECTION","William Cameron Menzies (for two films)","Tempest","tt0019451","102 min"
1927,1928,1,"CINEMATOGRAPHY","Charles Rosher, Karl Struss","Sunrise","tt0018455","94 min"
1927,1928,1,"DIRECTING (Comedy Picture)","Lewis Milestone","Two Arabian Knights","tt0018515","92 min"
1927,1928,1,"DIRECTING (Dramatic Picture)","Frank Borzage","7th Heaven","tt0018379","110 min"
1927,1928,1,"ENGINEERING EFFECTS","Roy Pomeroy","Wings","tt0018578","144 min"
1927,1928,1,"OUTSTANDING PICTURE","Paramount Famous Lasky","Wings","tt0018578","144 min"
1927,1928,1,"UNIQUE AND ARTISTIC PICTURE","Fox","Sunrise","tt0018455","94 min"
1927,1928,1,"WRITING (Adaptation)","Benjamin Glazer","7th Heaven","tt0018379","110 min"
1927,1928,1,"WRITING (Original Story)","Ben Hecht","Underworld","tt0018526","80 min"
1928,1929,2,"ACTOR","Warner Baxter","In Old Arizona","tt0020018","95 min"
1929,1929,2,"ACTRESS","Mary Pickford","Coquette","tt0019788","76 min"
1929,1929,2,"ART DIRECTION","Cedric Gibbons","The Bridge of San Luis Rey","tt0019722","86 min"
1928,1929,2,"CINEMATOGRAPHY","Clyde De Vinna","White Shadows in the South Seas","tt0019574","88 min"
1928,1929,2,"DIRECTING","Frank Lloyd","The Divine Lady","tt0019824","99 min"
1929,1929,2,"OUTSTANDING PICTURE","Metro-Goldwyn-Mayer","The Broadway Melody","tt0019729","100 min"
1928,1929,2,"WRITING","Hans Kraly","The Patriot","tt0019257","113 min"
1929,1930,3,"ACTOR","George Arliss","Disraeli","tt0019823","90 min"
1930,1930,3,"ACTRESS","Norma Shearer","The Divorcee","tt0020827","84 min"
1930,1930,3,"ART DIRECTION","Herman Rosse","King of Jazz","tt0021025","99 min"
1930,1930,3,"CINEMATOGRAPHY","Joseph T. Rucker, Willard Van Der Veer","With Byrd at the South Pole","tt0020594","82 min"
1930,1930,3,"DIRECTING","Lewis Milestone","All Quiet on the Western Front","tt0020629","152 min"
1930,1930,3,"OUTSTANDING PRODUCTION","Universal","All Quiet on the Western Front","tt0020629","152 min"
1930,1930,3,"SOUND RECORDING","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director","The Big House","tt0020686","87 min"
1930,1930,3,"WRITING","Frances Marion","The Big House","tt0020686","87 min"
1931,1931,4,"ACTOR","Lionel Barrymore","A Free Soul","tt0021885","93 min"
1930,1931,4,"ACTRESS","Marie Dressler","Min and Bill","tt0021148","69 min"
1931,1931,4,"ART DIRECTION","Max Rée","Cimarron","tt0021746","123 min"
1931,1931,4,"CINEMATOGRAPHY","Floyd Crosby","Tabu: A Story of the South Seas","tt0022458","86 min"
1931,1931,4,"DIRECTING","Norman Taurog","Skippy","tt0022397","85 min"
1931,1931,4,"OUTSTANDING PRODUCTION","RKO Radio","Cimarron","tt0021746","123 min"
1931,1931,4,"WRITING (Adaptation)","Howard Estabrook","Cimarron","tt0021746","123 min"
1930,1931,4,"WRITING (Original Story)","John Monk Saunders","The Dawn Patrol","tt0020815","108 min"
1931,1932,5,"ACTOR","Fredric March","Dr. Jekyll and Mr. Hyde","tt0022835","98 min"
1931,1932,5,"ACTOR","Wallace Beery","The Champ","tt0021730","86 min"
1931,1932,5,"ACTRESS","Helen Hayes","The Sin of Madelon Claudet","tt0022386","75 min"
1931,1932,5,"ART DIRECTION","Gordon Wiles","Transatlantic","tt0022500","78 min"
1932,1932,5,"CINEMATOGRAPHY","Lee Garmes","Shanghai Express","tt0023458","82 min"
1931,1932,5,"DIRECTING","Frank Borzage","Bad Girl","tt0021635","90 min"
1932,1932,5,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","Grand Hotel","tt0022958","112 min"
1932,1932,5,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Flowers and Trees","tt0022899","8 min"
1932,1932,5,"SHORT SUBJECT (Comedy)","Hal Roach, Producer","The Music Box","tt0023251","29 min"
1931,1932,5,"SHORT SUBJECT (Novelty)","Mack Sennett, Producer","Wrestling Swordfish","tt0023711","8 min"
1931,1932,5,"WRITING (Adaptation)","Edwin Burke","Bad Girl","tt0021635","90 min"
1931,1932,5,"WRITING (Original Story)","Frances Marion","The Champ","tt0021730","86 min"
1933,1933,6,"ACTOR","Charles Laughton","The Private Life of Henry VIII.","tt0024473","97 min"
1933,1933,6,"ACTRESS","Katharine Hepburn","Morning Glory","tt0024353","74 min"
1933,1933,6,"ART DIRECTION","William S. Darling","Cavalcade","tt0023876","112 min"
1932,1933,6,"CINEMATOGRAPHY","Charles Bryant Lang, Jr.","A Farewell to Arms","tt0022879","80 min"
1933,1933,6,"DIRECTING","Frank Lloyd","Cavalcade","tt0023876","112 min"
1933,1933,6,"OUTSTANDING PRODUCTION","Fox","Cavalcade","tt0023876","112 min"
1933,1933,6,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Three Little Pigs","tt0024660","9 min"
1933,1933,6,"SHORT SUBJECT (Comedy)","Louis Brock, Producer","So This Is Harris","tt0024580","28 min"
1933,1933,6,"SHORT SUBJECT (Novelty)","Joe Rock, Producer","Krakatoa","tt0024231","23 min"
1932,1933,6,"SOUND RECORDING","Paramount Studio Sound Department, Franklin B. Hansen, Sound Director","A Farewell to Arms","tt0022879","80 min"
1933,1933,6,"WRITING (Adaptation)","Victor Heerman, Sarah Y. Mason","Little Women","tt0024264","115 min"
1932,1933,6,"WRITING (Original Story)","Robert Lord","One Way Passage","tt0023305","67 min"
1934,1935,7,"ACTOR","Clark Gable","It Happened One Night","tt0025316","105 min"
1934,1935,7,"ACTRESS","Claudette Colbert","It Happened One Night","tt0025316","105 min"
1934,1935,7,"ART DIRECTION","Cedric Gibbons, Fredric Hope","The Merry Widow","tt0025493","99 min"
1934,1935,7,"ASSISTANT DIRECTOR","John Waters","Viva Villa!","tt0025948","115 min"
1934,1935,7,"CINEMATOGRAPHY","Victor Milner","Cleopatra","tt0024991","100 min"
1934,1935,7,"DIRECTING","Frank Capra","It Happened One Night","tt0025316","105 min"
1933,1935,7,"FILM EDITING","Conrad Nervig","Eskimo","tt0023990","117 min"
1934,1935,7,"MUSIC (Scoring)","Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)","One Night of Love","tt0025601","84 min"
1934,1935,7,"MUSIC (Song)","Music by Con Conrad; Lyrics by Herb Magidson","The Gay Divorcee","tt0025164","107 min"
1934,1935,7,"OUTSTANDING PRODUCTION","Columbia","It Happened One Night","tt0025316","105 min"
1935,1935,7,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Tortoise and the Hare","tt0027126","9 min"
1934,1935,7,"SHORT SUBJECT (Comedy)","Kenneth Macgowan, Producer","La Cucaracha","tt0025019","20 min"
1934,1935,7,"SHORT SUBJECT (Novelty)","Stacy Woodard and Horace Woodard, Producers","City of Wax","tt0024986","9 min"
1934,1935,7,"SOUND RECORDING","Columbia Studio Sound Department, John Livadary, Sound Director","One Night of Love","tt0025601","84 min"
1934,1935,7,"WRITING (Adaptation)","Robert Riskin","It Happened One Night","tt0025316","105 min"
