"Year","Ceremony","Award","Winner","Recipient","Song","Film","IMDBid.x","IMDBid.y","ItemYear","ItemRuntime"
"1927/1928",1,"Unique and Artistic Picture",1,"Sunrise",NA,"Fox",NA,NA,NA,NA
"1927/1928",1,"Outstanding Picture",1,"Wings",NA,"Paramount Famous Lasky",NA,NA,NA,NA
"1927/1928",1,"Special Award",1,"Charles Chaplin",NA,"The Circus",NA,NA,NA,NA
"1927/1928",1,"Art Direction",1,"William Cameron Menzies",NA,"The Dove; Tempest",NA,NA,NA,NA
"1927/1928",1,"Special Award",1,"Warner Brothers",NA,"The Jazz Singer",NA,NA,NA,NA
"1928/1929",2,"Outstanding Picture",1,"The Broadway Melody",NA,"Metro-Goldwyn-Mayer",NA,NA,NA,NA
"1929/1930",3,"Art Direction",1,"King of Jazz",NA,"Herman Rosse",NA,NA,NA,NA
"1930/1931",4,"Art Direction",1,"Cimarron",NA,"Max Rée",NA,NA,NA,NA
"1930/1931",4,"Cinematography",1,"Floyd Crosby",NA,"Tabu",NA,NA,NA,NA
"1931/1932",5,"Special Award",1,"Walt Disney",NA,"“Mickey Mouse”",NA,NA,NA,NA
"1931/1932",5,"Art Direction",1,"Transatlantic",NA,"Gordon Wiles",NA,NA,NA,NA
"1932/1933",6,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"The Three Little Pigs",NA,NA,NA,NA
"1932/1933",6,"Art Direction",1,"Cavalcade",NA,"William S. Darling",NA,NA,NA,NA
"1936",9,"Special Award",1,"W. Howard Greene and Harold Rosson",NA,"The Garden of Allah",NA,NA,NA,NA
"1938",11,"Short Subject (Two Reel)",1,"Warner Brothers",NA,"Declaration of Independence",NA,NA,NA,NA
"1938",11,"Special Award",1,"Walt Disney",NA,"Snow White and the Seven Dwarfs",NA,NA,NA,NA
"1938",11,"Special Award",1,"Oliver Marsh and Allen Davey",NA,"Sweethearts",NA,NA,NA,NA
"1939",12,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"The Ugly Duckling",NA,NA,NA,NA
"1940",13,"Short Subject (One Reel)",1,"Pete Smith, Producer",NA,"Quicker 'N a Wink",NA,NA,NA,NA
"1940",13,"Short Subject (Two Reel)",1,"Warner Brothers",NA,"Teddy, the Rough Rider",NA,NA,NA,NA
"1941",14,"Special Award",1,"Leopold Stokowski and Associates",NA,"Fantasia",NA,NA,NA,NA
"1941",14,"Special Award",1,"Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company",NA,"Fantasia",NA,NA,NA,NA
"1941",14,"Special Award",1,"Rey Scott",NA,"Kukan",NA,NA,NA,NA
"1941",14,"Special Award",1,"The British Ministry of Information",NA,"Target for Tonight",NA,NA,NA,NA
"1942",15,"Special Award",1,"Metro-Goldwyn-Mayer",NA,"Andy Hardy",NA,NA,NA,NA
"1942",15,"Special Award",1,"Noel Coward",NA,"In Which We Serve",NA,NA,NA,NA
"1942",15,"Documentary",1,"United States Army Special Services",NA,"Prelude to War",NA,NA,NA,NA
"1942",15,"Writing (Original Motion Picture Story)",1,"Emeric Pressburger",NA,"The Invaders",NA,NA,NA,NA
"1942",15,"Art Direction (Black and White)",1,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little",NA,"This above All",NA,NA,NA,NA
"1943",16,"Music (Song)",1,"Music by Harry Warren; Lyrics by Mack Gordon","""You'll Never Know""","Hello, Frisco, Hello",NA,NA,NA,NA
"1943",16,"Short Subject (Cartoon)",1,"Frederick Quimby, Producer",NA,"Yankee Doodle Mouse",NA,NA,NA,NA
"1944",17,"Actress in a Supporting Role",1,"Ethel Barrymore",NA,"None but the Lonely Heart",NA,NA,NA,NA
"1944",17,"Special Effects",1,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",NA,"Thirty Seconds over Tokyo",NA,NA,NA,NA
"1945",18,"Documentary (Short Subject)",1,"Gordon Hollingshead, Producer",NA,"Hitler Lives?",NA,NA,NA,NA
"1947",20,"Short Subject (One Reel)",1,"Herbert Moulton, Producer",NA,"Good-bye Miss Turlock",NA,NA,NA,NA
"1948",21,"Special Foreign Language Film Award",1,NA,NA,"Monsieur Vincent",NA,NA,NA,NA
"1948",21,"Short Subject (One Reel)",1,"Edmund H. Reek, Producer",NA,"Symphony of a City",NA,NA,NA,NA
"1949",22,"Short Subject (One Reel)",1,"Jack Eaton, Producer",NA,"Aquatic House-Party",NA,NA,NA,NA
"1949",22,"Short Subject (Cartoon)",1,"Edward Selzer, Producer",NA,"For Scent-Imental Reasons",NA,NA,NA,NA
"1949",22,"Costume Design (Color)",1,"Leah Rhodes, Travilla, Marjorie Best",NA,"The Adventures of Don Juan",NA,NA,NA,NA
"1949",22,"Special Foreign Language Film Award",1,NA,NA,"The Bicycle Thief",NA,NA,NA,NA
"1950",23,"Short Subject (Two Reel)",1,"Walt Disney, Producer",NA,"In Beaver Valley",NA,NA,NA,NA
"1950",23,"Honorary Foreign Language Film Award",1,NA,NA,"The Walls of Malapaga",NA,NA,NA,NA
"1951",24,"Honorary Foreign Language Film Award",1,NA,NA,"Rashomon",NA,NA,NA,NA
"1952",25,"Sound Recording",1,"London Film Sound Department",NA,"Breaking the Sound Barrier",NA,NA,NA,NA
"1952",25,"Short Subject (One Reel)",1,"Boris Vermont, Producer",NA,"Light in the Window: The Art of Vermeer",NA,NA,NA,NA
"1952",25,"Honorary Foreign Language Film Award",1,NA,NA,"Forbidden Games",NA,NA,NA,NA
"1952",25,"Documentary (Feature)",1,"Irwin Allen, Producer",NA,"The Sea around Us",NA,NA,NA,NA
"1953",26,"Short Subject (One Reel)",1,"Johnny Green, Producer",NA,"The Merry Wives of Windsor Overture",NA,NA,NA,NA
"1953",26,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"Toot, Whistle, Plunk and Boom",NA,NA,NA,NA
"1954",27,"Art Direction (Color)",1,"Art Direction: John Meehan; Set Decoration: Emile Kuri",NA,"20,000 Leagues under the Sea",NA,NA,NA,NA
"1954",27,"Special Effects",1,"Walt Disney Studios",NA,"20,000 Leagues under the Sea",NA,NA,NA,NA
"1954",27,"Honorary Award",1,"Jon Whiteley",NA,"The Little Kidnappers",NA,NA,NA,NA
"1954",27,"Honorary Award",1,"Vincent Winter",NA,"The Little Kidnappers",NA,NA,NA,NA
"1955",28,"Documentary (Feature)",1,"Nancy Hamilton, Producer",NA,"Helen Keller in Her Story",NA,NA,NA,NA
"1955",28,"Documentary (Short Subject)",1,"Walt Disney, Producer",NA,"Men against the Arctic",NA,NA,NA,NA
"1955",28,"Honorary Foreign Language Film Award",1,NA,NA,"Samurai, The Legend of Musashi",NA,NA,NA,NA
"1956",29,"Short Subject (Cartoon)",1,"Stephen Bosustow, Producer",NA,"Mister Magoo's Puddle Jumper",NA,NA,NA,NA
