"Year","Ceremony","Award","Winner","Recipient","Song","Film","IMDBid.x","IMDBid.y","ItemYear","ItemRuntime"
"1927/1928",1,"Actress",1,"Janet Gaynor",NA,"7th Heaven",NA,"tt0018379","1927","110 min"
"1927/1928",1,"Directing (Dramatic Picture)",1,"Frank Borzage",NA,"7th Heaven",NA,"tt0018379","1927","110 min"
"1927/1928",1,"Writing (Adaptation)",1,"Benjamin Glazer",NA,"7th Heaven",NA,"tt0018379","1927","110 min"
"1927/1928",1,"Unique and Artistic Picture",1,"Sunrise",NA,"Fox",NA,NA,NA,NA
"1927/1928",1,"Outstanding Picture",1,"Wings",NA,"Paramount Famous Lasky",NA,NA,NA,NA
"1927/1928",1,"Cinematography",1,"Charles Rosher",NA,"Sunrise",NA,"tt0018455","1927","94 min"
"1927/1928",1,"Cinematography",1,"Karl Struss",NA,"Sunrise",NA,"tt0018455","1927","94 min"
"1927/1928",1,"Special Award",1,"Charles Chaplin",NA,"The Circus",NA,NA,NA,NA
"1927/1928",1,"Art Direction",1,"William Cameron Menzies",NA,"The Dove; Tempest",NA,NA,NA,NA
"1927/1928",1,"Special Award",1,"Warner Brothers",NA,"The Jazz Singer",NA,NA,NA,NA
"1927/1928",1,"Directing (Comedy Picture)",1,"Lewis Milestone",NA,"Two Arabian Knights",NA,"tt0018515","1927","92 min"
"1927/1928",1,"Writing (Original Story)",1,"Ben Hecht",NA,"Underworld",NA,"tt0018526","1927","80 min"
"1927/1928",1,"Engineering Effects",1,"Roy Pomeroy",NA,"Wings",NA,"tt0018578","1927","144 min"
"1928/1929",2,"Actress",1,"Mary Pickford",NA,"Coquette",NA,"tt0019788","1929","76 min"
"1928/1929",2,"Actor",1,"Warner Baxter",NA,"In Old Arizona",NA,"tt0020018","1928","95 min"
"1928/1929",2,"Outstanding Picture",1,"The Broadway Melody",NA,"Metro-Goldwyn-Mayer",NA,NA,NA,NA
"1928/1929",2,"Art Direction",1,"Cedric Gibbons",NA,"The Bridge of San Luis Rey",NA,"tt0019722","1929","86 min"
"1928/1929",2,"Directing",1,"Frank Lloyd",NA,"The Divine Lady",NA,"tt0019824","1928","99 min"
"1928/1929",2,"Writing",1,"Hans Kraly",NA,"The Patriot",NA,"tt0019257","1928","113 min"
"1928/1929",2,"Cinematography",1,"Clyde De Vinna",NA,"White Shadows in the South Seas",NA,"tt0019574","1928","88 min"
"1929/1930",3,"Directing",1,"Lewis Milestone",NA,"All Quiet on the Western Front",NA,"tt0020629","1930","152 min"
"1929/1930",3,"Outstanding Production",1,"Universal",NA,"All Quiet on the Western Front",NA,"tt0020629","1930","152 min"
"1929/1930",3,"Actor",1,"George Arliss",NA,"Disraeli",NA,"tt0019823","1929","90 min"
"1929/1930",3,"Art Direction",1,"King of Jazz",NA,"Herman Rosse",NA,NA,NA,NA
"1929/1930",3,"Sound Recording",1,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",NA,"The Big House",NA,"tt0020686","1930","87 min"
"1929/1930",3,"Writing",1,"Frances Marion",NA,"The Big House",NA,"tt0020686","1930","87 min"
"1929/1930",3,"Actress",1,"Norma Shearer",NA,"The Divorcee",NA,"tt0020827","1930","84 min"
"1929/1930",3,"Cinematography",1,"Joseph T. Rucker, Willard Van Der Veer",NA,"With Byrd at the South Pole",NA,"tt0020594","1930","82 min"
"1930/1931",4,"Actor",1,"Lionel Barrymore",NA,"A Free Soul",NA,"tt0021885","1931","93 min"
"1930/1931",4,"Outstanding Production",1,"RKO Radio",NA,"Cimarron",NA,"tt0021746","1931","123 min"
"1930/1931",4,"Writing (Adaptation)",1,"Howard Estabrook",NA,"Cimarron",NA,"tt0021746","1931","123 min"
"1930/1931",4,"Art Direction",1,"Cimarron",NA,"Max Rée",NA,NA,NA,NA
"1930/1931",4,"Actress",1,"Marie Dressler",NA,"Min and Bill",NA,"tt0021148","1930","69 min"
"1930/1931",4,"Directing",1,"Norman Taurog",NA,"Skippy",NA,"tt0022397","1931","85 min"
"1930/1931",4,"Cinematography",1,"Floyd Crosby",NA,"Tabu",NA,NA,NA,NA
"1930/1931",4,"Writing (Original Story)",1,"John Monk Saunders",NA,"The Dawn Patrol",NA,"tt0020815","1930","108 min"
"1931/1932",5,"Special Award",1,"Walt Disney",NA,"“Mickey Mouse”",NA,NA,NA,NA
"1931/1932",5,"Directing",1,"Frank Borzage",NA,"Bad Girl",NA,"tt0021635","1931","90 min"
"1931/1932",5,"Writing (Adaptation)",1,"Edwin Burke",NA,"Bad Girl",NA,"tt0021635","1931","90 min"
"1931/1932",5,"Actor",1,"Fredric March",NA,"Dr. Jekyll and Mr. Hyde",NA,"tt0022835","1931","98 min"
"1931/1932",5,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"Flowers and Trees",NA,"tt0022899","1932","8 min"
"1931/1932",5,"Art Direction",1,"Transatlantic",NA,"Gordon Wiles",NA,NA,NA,NA
"1931/1932",5,"Outstanding Production",1,"Metro-Goldwyn-Mayer",NA,"Grand Hotel",NA,"tt0022958","1932","112 min"
"1931/1932",5,"Cinematography",1,"Lee Garmes",NA,"Shanghai Express",NA,"tt0023458","1932","82 min"
"1931/1932",5,"Actor",1,"Wallace Beery",NA,"The Champ",NA,"tt0021730","1931","86 min"
"1931/1932",5,"Writing (Original Story)",1,"Frances Marion",NA,"The Champ",NA,"tt0021730","1931","86 min"
"1931/1932",5,"Short Subject (Comedy)",1,"Hal Roach, Producer",NA,"The Music Box",NA,"tt0023251","1932","29 min"
"1931/1932",5,"Actress",1,"Helen Hayes",NA,"The Sin of Madelon Claudet",NA,"tt0022386","1931","75 min"
"1931/1932",5,"Short Subject (Novelty)",1,"Mack Sennett, Producer",NA,"Wrestling Swordfish",NA,"tt0023711","1931","8 min"
"1932/1933",6,"Cinematography",1,"Charles Bryant Lang, Jr.",NA,"A Farewell to Arms",NA,"tt0022879","1932","80 min"
"1932/1933",6,"Sound Recording",1,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",NA,"A Farewell to Arms",NA,"tt0022879","1932","80 min"
