"ItemTitle","IMDBid","Rating","Rated.Date","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Internet Movie Database","Metacritic","Rotten Tomatoes","Rated.Year"
"Gremlins","tt0087363","7",2022-01-16,"Gremlins","1984","PG",1984,"106 min","Comedy, Fantasy, Horror","Joe Dante","Chris Columbus","Zach Galligan, Phoebe Cates, Hoyt Axton","A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.","English, Spanish","United States","8 wins & 6 nominations","https://m.media-amazon.com/images/M/MV5BZDVjN2FkYTQtNTBlOC00MjM5LTgzMWEtZWRlNGUyYmNiOTFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","70","7.3","212,457","tt0087363","movie",NA,"7.3/10","70/100","85%","2022.16"
"Gone with the Wind","tt0031381","7",2022-01-16,"Gone with the Wind","1939","Passed",1940,"238 min","Drama, History, Romance","Victor Fleming, George Cukor, Sam Wood","Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett","Clark Gable, Vivien Leigh, Thomas Mitchell","The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.","English","United States","Won 10 Oscars. 21 wins & 12 nominations total","https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","97","8.1","304,365","tt0031381","movie",NA,"8.1/10","97/100","90%","2022.16"
"The Bling Ring","tt2132285","4",2022-01-15,"The Bling Ring","2013","R",2013,"90 min","Biography, Crime, Drama","Sofia Coppola","Sofia Coppola, Nancy Jo Sales","Katie Chang, Israel Broussard, Emma Watson","Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.","English","United States, United Kingdom, France, Germany, Japan","4 wins & 7 nominations","https://m.media-amazon.com/images/M/MV5BMTQzMTgwMzQxN15BMl5BanBnXkFtZTcwOTcwNTY0OQ@@._V1_SX300.jpg","66","5.6","86,324","tt2132285","movie",NA,"5.6/10","66/100","60%","2022.15"
"The Defenders","tt4230076","5",2022-01-15,"The Defenders","2017","TV-MA",2017,"50 min","Action, Adventure, Crime","N/A","Douglas Petrie, Marco Ramirez","Charlie Cox, Krysten Ritter, Mike Colter","Set a few months after the events of the second season of Daredevil, and a month after the events of Iron Fist, the vigilantes Daredevil, Jessica Jones, Luke Cage, and Iron Fist team up in New York City to fight a common enemy: The H","English","United States","Nominated for 1 Primetime Emmy. 9 nominations total","https://m.media-amazon.com/images/M/MV5BNWU4NmY3MTMtMTBmMi00NjFjLTkwMmItYWZhZWUwNDg5M2ExXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg","N/A","7.3","99,270","tt4230076","series","1","7.3/10",NA,NA,"2022.15"
"The Suicide Squad","tt6334354","4",2022-01-15,"The Suicide Squad","2021","R",2021,"132 min","Action, Adventure, Comedy","James Gunn","James Gunn","Margot Robbie, Idris Elba, John Cena","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","English","United States","1 win & 19 nominations","https://m.media-amazon.com/images/M/MV5BNGM3YzdlOWYtNjViZS00MTE2LWE1MWUtZmE2ZTcxZjcyMmU3XkEyXkFqcGdeQXVyODEyMTI1MjA@._V1_SX300.jpg","72","7.2","282,099","tt6334354","movie",NA,"7.2/10","72/100",NA,"2022.15"
"Venom: Let There Be Carnage","tt7097896","4",2022-01-15,"Venom: Let There Be Carnage","2021","PG-13",2021,"97 min","Action, Adventure, Sci-Fi","Andy Serkis","Kelly Marcel, Tom Hardy","Tom Hardy, Woody Harrelson, Michelle Williams","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.","English","United States, United Kingdom, Canada","1 nomination","https://m.media-amazon.com/images/M/MV5BYTc3ZTAwYTgtMmM4ZS00MDRiLWI2Y2EtYmRiZmE0YjkzMGY1XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg","48","6.0","127,327","tt7097896","movie",NA,"6.0/10","48/100","58%","2022.15"
"Shang-Chi and the Legend of the Ten Rings","tt9376612","7",2022-01-15,"Shang-Chi and the Legend of the Ten Rings","2021","PG-13",2021,"132 min","Action, Adventure, Fantasy","Destin Daniel Cretton","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu, Awkwafina, Tony Chiu-Wai Leung","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","English, Mandarin","United States, Australia","6 wins & 35 nominations","https://m.media-amazon.com/images/M/MV5BNTliYjlkNDQtMjFlNS00NjgzLWFmMWEtYmM2Mzc2Zjg3ZjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg","71","7.5","288,761","tt9376612","movie",NA,"7.5/10","71/100","91%","2022.15"
"The Ref","tt0110955","6",2022-01-14,"The Ref","1994","R",1994,"97 min","Comedy, Crime, Drama","Ted Demme","Marie Weiss, Richard LaGravenese","Denis Leary, Judy Davis, Kevin Spacey","A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.","English","United States","1 win & 1 nomination","https://m.media-amazon.com/images/M/MV5BNDA2Yzg3ZGUtMmJlOC00NzY2LWIxMDYtODcwOTM0ZWZhNWQ0XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg","N/A","6.9","24,563","tt0110955","movie",NA,"6.9/10",NA,"72%","2022.14"
"Beginners","tt1532503","6",2022-01-14,"Beginners","2010","R",2011,"105 min","Comedy, Drama, Romance","Mike Mills","Mike Mills","Ewan McGregor, Christopher Plummer, Mélanie Laurent","A young man is rocked by two announcements from his elderly father: that he has terminal cancer and that he has a young male lover.","English, French","United States","Won 1 Oscar. 36 wins & 30 nominations total","https://m.media-amazon.com/images/M/MV5BMjAyNDcxNTk3NV5BMl5BanBnXkFtZTcwMjk4MDU2NA@@._V1_SX300.jpg","81","7.2","90,514","tt1532503","movie",NA,"7.2/10","81/100","85%","2022.14"
"Anatomy of a Murder","tt0052561","9",2022-01-14,"Anatomy of a Murder","1959","Not Rated",1959,"161 min","Drama, Mystery","Otto Preminger","Wendell Mayes, John D. Voelker","James Stewart, Lee Remick, Ben Gazzara","An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?","English","United States","Nominated for 7 Oscars. 12 wins & 19 nominations total","https://m.media-amazon.com/images/M/MV5BMzM0MzE2ZTAtZTBjZS00MTk5LTg5OTEtNjNmYmQ5NzU2OTUyXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg","95","8.0","64,115","tt0052561","movie",NA,"8.0/10","95/100","100%","2022.14"
