"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"Citizen Kane","tt0033467","1941","119 min"
"Casablanca","tt0034583","1942","102 min"
"The Godfather","tt0068646","1972","175 min"
"Gone with the Wind","tt0031381","1939","238 min"
"Lawrence of Arabia","tt0056172","1962","228 min"
"The Wizard of Oz","tt0032138","1939","102 min"
"The Graduate","tt0061722","1967","106 min"
"On the Waterfront","tt0047296","1954","108 min"
"Schindler's List","tt0108052","1993","195 min"
"Singin' in the Rain","tt0045152","1952","103 min"
"It's a Wonderful Life","tt0038650","1946","130 min"
"Sunset Blvd.","tt0043014","1950","110 min"
"The Bridge on the River Kwai","tt0050212","1957","161 min"
"Some Like It Hot","tt0053291","1959","121 min"
"Star Wars: Episode IV - A New Hope","tt0076759","1977","121 min"
"All About Eve","tt0042192","1950","138 min"
"The African Queen","tt0043265","1951","105 min"
"Psycho","tt0054215","1960","109 min"
"Chinatown","tt0071315","1974","130 min"
"One Flew Over the Cuckoo's Nest","tt0073486","1975","133 min"
"The Grapes of Wrath","tt0032551","1940","129 min"
"2001: A Space Odyssey","tt0062622","1968","149 min"
"The Maltese Falcon","tt0033870","1941","100 min"
"Raging Bull","tt0081398","1980","129 min"
"E.T. the Extra-Terrestrial","tt0083866","1982","115 min"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","tt0057012","1964","95 min"
"Bonnie and Clyde","tt0061418","1967","111 min"
"Apocalypse Now","tt0078788","1979","147 min"
"Mr. Smith Goes to Washington","tt0031679","1939","129 min"
"The Treasure of the Sierra Madre","tt0040897","1948","126 min"
"Annie Hall","tt0075686","1977","93 min"
"The Godfather: Part II","tt0071562","1974","202 min"
"High Noon","tt0044706","1952","85 min"
"To Kill a Mockingbird","tt0056592","1962","129 min"
"It Happened One Night","tt0025316","1934","105 min"
"Midnight Cowboy","tt0064665","1969","113 min"
"The Best Years of Our Lives","tt0036868","1946","170 min"
"Double Indemnity","tt0036775","1944","107 min"
"Doctor Zhivago","tt0059113","1965","197 min"
"North by Northwest","tt0053125","1959","136 min"
"West Side Story","tt0055614","1961","153 min"
"Rear Window","tt0047396","1954","112 min"
"King Kong","tt0024216","1933","100 min"
"The Birth of a Nation","tt0004972","1915","195 min"
"A Streetcar Named Desire","tt0044081","1951","122 min"
"A Clockwork Orange","tt0066921","1971","136 min"
"Taxi Driver","tt0075314","1976","114 min"
"Jaws","tt0073195","1975","124 min"
"Snow White and the Seven Dwarfs","tt0029583","1937","83 min"
"Butch Cassidy and the Sundance Kid","tt0064115","1969","110 min"
"The Philadelphia Story","tt0032904","1940","112 min"
"From Here to Eternity","tt0045793","1953","118 min"
"Amadeus","tt0086879","1984","160 min"
"All Quiet on the Western Front","tt0020629","1930","152 min"
"The Sound of Music","tt0059742","1965","172 min"
"MASH","tt0066026","1970","116 min"
"The Third Man","tt0041959","1949","93 min"
"Fantasia","tt0032455","1940","125 min"
"Rebel Without a Cause","tt0048545","1955","111 min"
"Indiana Jones and the Raiders of the Lost Ark","tt0082971","1981","115 min"
"Vertigo","tt0052357","1958","128 min"
"Tootsie","tt0084805","1982","116 min"
"Stagecoach","tt0031971","1939","96 min"
"Close Encounters of the Third Kind","tt0075860","1977","138 min"
"The Silence of the Lambs","tt0102926","1991","118 min"
"Network","tt0074958","1976","121 min"
"The Manchurian Candidate","tt0056218","1962","126 min"
"An American in Paris","tt0043278","1951","114 min"
"Shane","tt0046303","1953","118 min"
"The French Connection","tt0067116","1971","104 min"
"Forrest Gump","tt0109830","1994","142 min"
"Ben-Hur","tt0052618","1959","212 min"
"Wuthering Heights","tt0032145","1939","104 min"
"The Gold Rush","tt0015864","1925","95 min"
"Dances with Wolves","tt0099348","1990","181 min"
"City Lights","tt0021749","1931","87 min"
"American Graffiti","tt0069704","1973","110 min"
"Rocky","tt0075148","1976","120 min"
"The Deer Hunter","tt0077416","1978","183 min"
"The Wild Bunch","tt0065214","1969","135 min"
"Modern Times","tt0027977","1936","87 min"
"Giant","tt0049261","1956","201 min"
"Platoon","tt0091763","1986","120 min"
"Fargo","tt0116282","1996","98 min"
"Duck Soup","tt0023969","1933","69 min"
"Mutiny on the Bounty","tt0026752","1935","132 min"
"Frankenstein","tt0021884","1931","70 min"
"Easy Rider","tt0064276","1969","95 min"
"Patton","tt0066206","1970","172 min"
"The Jazz Singer","tt0018037","1927","88 min"
"My Fair Lady","tt0058385","1964","170 min"
"A Place in the Sun","tt0043924","1951","122 min"
"The Apartment","tt0053604","1960","125 min"
"Goodfellas","tt0099685","1990","146 min"
"Pulp Fiction","tt0110912","1994","154 min"
"The Searchers","tt0049730","1956","119 min"
"Bringing Up Baby","tt0029947","1938","102 min"
"Unforgiven","tt0105695","1992","130 min"
"Guess Who's Coming to Dinner","tt0061735","1967","108 min"
"Yankee Doodle Dandy","tt0035575","1942","126 min"
