"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"The Ballad of Narayama","tt0051980","1958","98 min"
"Veronika Voss","tt0084654","1982","104 min"
"Monsieur Hire","tt0097904","1989","81 min"
"The Spirit of the Beehive","tt0070040","1973","98 min"
"Mulholland Drive","tt0166924","2001","147 min"
"The Life of Oharu","tt0045112","1952","133 min"
"Cléo from 5 to 7","tt0055852","1962","90 min"
"Spirited Away","tt0245429","2001","125 min"
"The Pledge","tt0237572","2001","124 min"
"French Cancan","tt0046998","1955","102 min"
"The Collector","tt0061495","1967","89 min"
"La Cérémonie","tt0112769","1995","112 min"
"Diary of a Lost Girl","tt0020475","1929","79 min"
"Hara-Kiri","tt0056058","1962","133 min"
"Smiles of a Summer Night","tt0048641","1955","109 min"
"Ivan the Terrible, Part I","tt0037824","1944","95 min"
"Ivan the Terrible, Part II: The Boyars' Plot","tt0051790","1958","88 min"
"The Killing","tt0049406","1956","84 min"
"The Man Who Shot Liberty Valance","tt0056217","1962","123 min"
"Contact","tt0118884","1997","150 min"
"Departures","tt1069238","2008","130 min"
"A Man Escaped","tt0049902","1956","101 min"
"Shadow of a Doubt","tt0036342","1943","108 min"
"Nosferatu the Vampyre","tt0079641","1979","107 min"
"The Match Factory Girl","tt0098532","1990","69 min"
"Stagecoach","tt0031971","1939","96 min"
"Se7en","tt0114369","1995","127 min"
"A.I. Artificial Intelligence","tt0212720","2001","146 min"
"Badlands","tt0069762","1973","94 min"
"An Autumn Afternoon","tt0056444","1962","113 min"
"Pale Flower","tt0056327","1964","96 min"
"Diary of a Country Priest","tt0042619","1951","95 min"
"Heart of Glass","tt0074626","1976","94 min"
"Senso","tt0047469","1954","123 min"
"Shoah","tt0090015","1985","566 min"
"Superman","tt0078346","1978","143 min"
"Red Beard","tt0058888","1965","185 min"
"The Circus","tt0018773","1928","72 min"
"Lost in Translation","tt0335266","2003","102 min"
"Mystery Train","tt0097940","1989","110 min"
"The Only Son","tt0027752","1936","87 min"
"Come and See","tt0091251","1985","142 min"
"Metropolis","tt0017136","1927","153 min"
"Viridiana","tt0055601","1961","90 min"
"The Big Lebowski","tt0118715","1998","117 min"
"Pink Floyd: The Wall","tt0084503","1982","95 min"
"Make Way for Tomorrow","tt0029192","1937","91 min"
"The Hairdresser's Husband","tt0100112","1990","82 min"
"Caché (Hidden)","tt0387898","2005","117 min"
"Eternal Sunshine of the Spotless Mind","tt0338013","2004","108 min"
"25th Hour","tt0307901","2002","135 min"
"The Red Shoes","tt0040725","1948","135 min"
"My American Uncle","tt0081176","1980","125 min"
"Léon Morin, Priest","tt0055082","1961","117 min"
"Richard III","tt0114279","1995","110 min"
"The Grey Zone","tt0252480","2001","108 min"
"Barry Lyndon","tt0072684","1975","185 min"
"Spring, Summer, Fall, Winter... and Spring","tt0374546","2003","103 min"
"In a Lonely Place","tt0042593","1950","94 min"
"Souls for Sale","tt0014497","1923","90 min"
"Rio Bravo","tt0053221","1959","141 min"
"Man with a Movie Camera","tt0019760","1929","68 min"
"Tender Mercies","tt0086423","1983","92 min"
"The Cabinet of Dr. Caligari","tt0010323","1920","67 min"
"The Thief of Bagdad","tt0033152","1940","106 min"
"Chop Shop","tt0990404","2007","84 min"
"The Beautiful Troublemaker","tt0101428","1991","238 min"
"Withnail & I","tt0094336","1987","107 min"
"Exotica","tt0109759","1994","103 min"
"The Double Life of Véronique","tt0101765","1991","98 min"
"Waking Life","tt0243017","2001","99 min"
"Secrets & Lies","tt0117589","1996","136 min"
"After Hours","tt0088680","1985","97 min"
"Mon Oncle Antoine","tt0067439","1971","104 min"
"The Silence","tt0057611","1963","96 min"
"Magnolia","tt0175880","1999","188 min"
"A Prairie Home Companion","tt0420087","2006","105 min"
"The Last Temptation of Christ","tt0095497","1988","164 min"
"Baraka","tt0103767","1992","96 min"
"The Godfather: Part II","tt0071562","1974","202 min"
"Adaptation.","tt0268126","2002","115 min"
"L.A. Confidential","tt0119488","1997","138 min"
"Mephisto","tt0082736","1981","144 min"
"Dog Day Afternoon","tt0072890","1975","125 min"
"Through a Glass Darkly","tt0055499","1961","90 min"
"Cool Hand Luke","tt0061512","1967","127 min"
"The Triumph of the Will","tt0025913","1935","110 min"
"Rocco and His Brothers","tt0054248","1960","179 min"
"My Man Godfrey","tt0028010","1936","94 min"
"Johnny Guitar","tt0047136","1954","110 min"
"Ordet","tt0048452","1955","126 min"
"Diva","tt0082269","1981","117 min"
"Vengeance Is Mine","tt0079182","1979","139 min"
"What Ever Happened to Baby Jane?","tt0056687","1962","134 min"
"The Best Years of Our Lives","tt0036868","1946","170 min"
"Mishima: A Life in Four Chapters","tt0089603","1985","120 min"
"Winter Light","tt0057358","1963","81 min"
"The Enigma of Kaspar Hauser","tt0071691","1974","110 min"
"Blade Runner","tt0083658","1982","117 min"
"Sansho the Bailiff","tt0047445","1954","124 min"
"El Topo","tt0067866","1970","125 min"
"Babel","tt0449467","2006","143 min"
"The Great Dictator","tt0032553","1940","125 min"
"Werckmeister Harmonies","tt0249241","2000","145 min"
"Pan's Labyrinth","tt0457430","2006","118 min"
"Ace in the Hole","tt0043338","1951","111 min"
"Killer of Sheep","tt0076263","1978","80 min"
"WR: Mysteries of the Organism","tt0067958","1971","84 min"
"Moolaadé","tt0416991","2004","124 min"
"Cabiria","tt0003740","1914","148 min"
"The Shining","tt0081505","1980","146 min"
"Chimes at Midnight","tt0059012","1965","115 min"
"Army of Shadows","tt0064040","1969","145 min"
"Au Revoir les Enfants","tt0092593","1987","104 min"
"The Long Goodbye","tt0070334","1973","112 min"
"Ripley's Game","tt0265651","2002","110 min"
"Night Moves","tt0073453","1975","100 min"
"Cat People","tt0034587","1942","73 min"
"Samurai Rebellion","tt0061847","1967","128 min"
"The River","tt0043972","1951","99 min"
"Inherit the Wind","tt0053946","1960","128 min"
"My Fair Lady","tt0058385","1964","170 min"
"Forbidden Games","tt0043686","1952","86 min"
"Atlantic City","tt0080388","1980","104 min"
"Dark City","tt0118929","1998","100 min"
"Crumb","tt0109508","1994","119 min"
"Top Hat","tt0027125","1935","101 min"
"The Dead","tt0092843","1987","83 min"
"Nanook of the North","tt0013427","1922","78 min"
"Crimes and Misdemeanors","tt0097123","1989","104 min"
"Fitzcarraldo","tt0083946","1982","158 min"
"The Age of Innocence","tt0106226","1993","139 min"
"Leolo","tt0104782","1992","107 min"
"The Terrorist","tt0169302","1998","95 min"
"Safety Last!","tt0014429","1923","74 min"
"Woodstock","tt0066580","1970","184 min"
"Rebel Without a Cause","tt0048545","1955","111 min"
"Howards End","tt0104454","1992","142 min"
"Faust","tt0016847","1926","107 min"
"The Marriage of Maria Braun","tt0079095","1979","120 min"
"Yojimbo","tt0055630","1961","110 min"
"The Band Wagon","tt0045537","1953","112 min"
"After Dark, My Sweet","tt0098994","1990","114 min"
"Paths of Glory","tt0050825","1957","88 min"
"Late Spring","tt0041154","1949","108 min"
"Groundhog Day","tt0107048","1993","101 min"
"The Scarlet Empress","tt0025746","1934","104 min"
"The Phantom of the Opera","tt0016220","1925","93 min"
"Fanny and Alexander","tt0083922","1982","188 min"
"The Big Red One","tt0080437","1980","113 min"
"A Woman's Tale","tt0103282","1991","93 min"
"The Battle of Algiers","tt0058946","1966","121 min"
"Easy Rider","tt0064276","1969","95 min"
"Three Women","tt0075612","1977","124 min"
"Playtime","tt0062136","1967","155 min"
"Pixote","tt0082912","1980","128 min"
"Last Tango in Paris","tt0070849","1972","129 min"
"El Norte","tt0085482","1983","141 min"
"Out of the Past","tt0039689","1947","97 min"
"The Last Picture Show","tt0067328","1971","118 min"
"Jules and Jim","tt0055032","1962","105 min"
"The Big Heat","tt0045555","1953","89 min"
"Leaving Las Vegas","tt0113627","1995","111 min"
"Victim","tt0055597","1961","90 min"
"Ugetsu","tt0046478","1953","96 min"
"Sunrise","tt0018455","1927","94 min"
"Au hasard Balthazar","tt0060138","1966","95 min"
"The Color Purple","tt0088939","1985","154 min"
"The Gospel According to St. Matthew","tt0058715","1964","137 min"
"The Rules of the Game","tt0031885","1939","110 min"
"West Side Story","tt0055614","1961","153 min"
"Touchez Pas au Grisbi","tt0046451","1954","83 min"
"The Man Who Laughs","tt0019130","1928","110 min"
"Amarcord","tt0071129","1973","123 min"
"Mean Streets","tt0070379","1973","112 min"
"Strangers on a Train","tt0044079","1951","101 min"
"Taxi Driver","tt0075314","1976","114 min"
"The Manchurian Candidate","tt0056218","1962","126 min"
"Le Boucher","tt0064106","1970","93 min"
"Tokyo Story","tt0046438","1953","136 min"
"Alien","tt0078748","1979","117 min"
"The Treasure of the Sierra Madre","tt0040897","1948","126 min"
"Scarface","tt0086250","1983","170 min"
"The Leopard","tt0057091","1963","186 min"
"Santa Sangre","tt0098253","1989","123 min"
"The Adventures of Robin Hood","tt0029843","1938","102 min"
"The Good, the Bad and the Ugly","tt0060196","1966","178 min"
"A Year of the Quiet Sun","tt0088009","1984","106 min"
"Breathless","tt0053472","1960","90 min"
"Moonstruck","tt0093565","1987","102 min"
"Mon Oncle","tt0050706","1958","116 min"
"Bob le Flambeur","tt0047892","1956","98 min"
"A Sunday in the Country","tt0088318","1984","90 min"
"Raise the Red Lantern","tt0101640","1991","125 min"
"The Birth of a Nation","tt0004972","1915","195 min"
"Five Easy Pieces","tt0065724","1970","98 min"
"One Flew Over the Cuckoo's Nest","tt0073486","1975","133 min"
"Three Colors: Blue","tt0108394","1993","94 min"
"Lan feng zheng","tt0107358","1993","140 min"
"Solaris","tt0069293","1972","167 min"
"The Thin Man","tt0025878","1934","91 min"
"Paris, Texas","tt0087884","1984","145 min"
"Goodfellas","tt0099685","1990","146 min"
"The Life and Death of Colonel Blimp","tt0036112","1943","163 min"
"Don't Look Now","tt0069995","1973","110 min"
"12 Angry Men","tt0050083","1957","96 min"
"The Wild Bunch","tt0065214","1969","135 min"
"Kind Hearts and Coronets","tt0041546","1949","106 min"
"Rififi","tt0048021","1955","118 min"
"Cries & Whispers","tt0069467","1972","91 min"
"Unforgiven","tt0105695","1992","130 min"
"The Firemen's Ball","tt0061781","1967","73 min"
"Stroszek","tt0075276","1977","115 min"
"The Hustler","tt0054997","1961","134 min"
"In Cold Blood","tt0061809","1967","134 min"
"JFK","tt0102138","1991","189 min"
