"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"À Nous la Liberté","tt0022599","1931","97 min"
"About Schmidt","tt0257360","2002","125 min"
"Absence of Malice","tt0081974","1981","116 min"
"Adam's Rib","tt0041090","1949","101 min"
"Adaptation.","tt0268126","2002","115 min"
"The Adjuster","tt0101273","1991","102 min"
"The Adventures of Robin Hood","tt0029843","1938","102 min"
"Affliction","tt0118564","1997","114 min"
"The African Queen","tt0043265","1951","105 min"
"L'Age d'Or","tt0021577","1930","63 min"
"Aguirre, the Wrath of God","tt0068182","1972","95 min"
"A.I. Artificial Intelligence","tt0212720","2001","146 min"
"Airplane!","tt0080339","1980","88 min"
"Aladdin","tt0103639","1992","90 min"
"Alexander Nevsky","tt0029850","1938","112 min"
"Alice Doesn't Live Here Anymore","tt0071115","1974","112 min"
"Alice's Restaurant","tt0064002","1969","111 min"
"Aliens","tt0090605","1986","137 min"
"All About Eve","tt0042192","1950","138 min"
"All About My Mother","tt0185125","1999","101 min"
"All Quiet on the Western Front","tt0020629","1930","152 min"
"All That Heaven Allows","tt0047811","1955","89 min"
"All the King's Men","tt0041113","1949","110 min"
"All the President's Men","tt0074119","1976","138 min"
"Amadeus","tt0086879","1984","160 min"
"Amarcord","tt0071129","1973","123 min"
"Amélie","tt0211915","2001","122 min"
"America America","tt0056825","1963","174 min"
"The American Friend","tt0075675","1977","128 min"
"American Graffiti","tt0069704","1973","110 min"
"An American in Paris","tt0043278","1951","114 min"
"The Americanization of Emily","tt0057840","1964","115 min"
"American Movie","tt0181288","1999","107 min"
"Amores perros","tt0245712","2000","154 min"
"Anastasia","tt0048947","1956","105 min"
"Anatomy of a Murder","tt0052561","1959","161 min"
"The Angry Silence","tt0053602","1960","95 min"
"Anna and the King of Siam","tt0038303","1946","128 min"
"Anna Christie","tt0020641","1930","89 min"
"Annie Hall","tt0075686","1977","93 min"
"The Apartment","tt0053604","1960","125 min"
"Apocalypse Now","tt0078788","1979","147 min"
"Apollo 13","tt0112384","1995","140 min"
"The Apostle","tt0118632","1997","134 min"
"L'Argent","tt0085180","1983","85 min"
"Ashes and Diamonds","tt0052080","1958","103 min"
"The Asphalt Jungle","tt0042208","1950","112 min"
"L'Atalante","tt0024844","1934","89 min"
"Atlantic City","tt0080388","1980","104 min"
"Au Revoir les Enfants","tt0092593","1987","104 min"
"L'Avventura","tt0053619","1960","144 min"
"The Awful Truth","tt0028597","1937","90 min"
"Babette's Feast","tt0092603","1987","103 min"
"Baby Doll","tt0048973","1956","114 min"
"Back to the Future","tt0088763","1985","116 min"
"The Bad and the Beautiful","tt0044391","1952","118 min"
"Bad Day at Black Rock","tt0047849","1955","81 min"
"Badlands","tt0069762","1973","94 min"
"The Baker's Wife","tt0030127","1938","133 min"
"Ball of Fire","tt0033373","1941","111 min"
"The Ballad of Cable Hogue","tt0065446","1970","121 min"
"Bambi","tt0034492","1942","70 min"
"The Band Wagon","tt0045537","1953","112 min"
"Bang the Drum Slowly","tt0069765","1973","96 min"
"The Bank Dick","tt0032234","1940","72 min"
"Barfly","tt0092618","1987","100 min"
"Barry Lyndon","tt0072684","1975","185 min"
"Barton Fink","tt0101410","1991","116 min"
"The Battle of Algiers","tt0058946","1966","121 min"
"A Good Marriage","tt0082053","1982","93 min"
"Beautiful People","tt0159272","1999","107 min"
"Beauty and the Beast","tt0038348","1946","93 min"
"Beauty and the Beast","tt0101414","1991","84 min"
"Bed & Board","tt0065651","1970","97 min"
"Beetlejuice","tt0094721","1988","92 min"
"Before Night Falls","tt0247196","2000","133 min"
"Before the Rain","tt0110882","1994","113 min"
"Being John Malkovich","tt0120601","1999","113 min"
"Being There","tt0078841","1979","130 min"
"Belle de Jour","tt0061395","1967","100 min"
"Ben-Hur","tt0052618","1959","212 min"
"Berlin Alexanderplatz","tt0080196","1980","931 min"
"The Best Years of Our Lives","tt0036868","1946","170 min"
"Beverly Hills Cop","tt0086960","1984","105 min"
"Bicycle Thieves","tt0040522","1948","89 min"
"The Big Chill","tt0085244","1983","105 min"
"The Big Clock","tt0040160","1948","95 min"
"Big Deal on Madonna Street","tt0052216","1958","106 min"
"The Big Heat","tt0045555","1953","89 min"
"Big Night","tt0115678","1996","109 min"
"The Big Red One","tt0080437","1980","113 min"
"The Big Sky","tt0044419","1952","140 min"
"The Big Sleep","tt0038355","1946","114 min"
"Billy Liar","tt0056868","1963","98 min"
"Biloxi Blues","tt0094746","1988","106 min"
"The Birds","tt0056869","1963","119 min"
"Birdy","tt0086969","1984","120 min"
"Black Narcissus","tt0039192","1947","101 min"
