"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"Judas and the Black Messiah","tt9784798","2021","126 min"
"Nomadland","tt9770150","2020","107 min"
"Promising Young Woman","tt9620292","2020","113 min"
"Tenet","tt6723592","2020","150 min"
"Soul","tt2948372","2020","100 min"
"Two Distant Strangers","tt13472984","2020","32 min"
"My Octopus Teacher","tt12888462","2020","85 min"
"If Anything Happens I Love You","tt11768948","2020","13 min"
"Colette","tt11643154","2020","24 min"
"Minari","tt10633456","2020","115 min"
"Mank","tt10618286","2020","131 min"
"Ma Rainey's Black Bottom","tt10514222","2020","94 min"
"Another Round","tt10288566","2020","117 min"
"The Father","tt10272386","2020","97 min"
"American Factory","tt9351980","2019","110 min"
"1917","tt8579674","2019","119 min"
"The Neighbors' Window","tt8163822","2019","21 min"
"Marriage Story","tt7653254","2019","137 min"
"Judy","tt7549996","2019","118 min"
"Joker","tt7286456","2019","122 min"
"Once Upon a Time... In Hollywood","tt7131622","2019","161 min"
"Hair Love","tt7129636","2019","7 min"
"Parasite","tt6751668","2019","132 min"
"Bombshell","tt6394270","2019","109 min"
"Sound of Metal","tt5363618","2019","120 min"
"Little Women","tt3281548","2019","135 min"
"Jojo Rabbit","tt2584384","2019","108 min"
"Rocketman","tt2066051","2019","121 min"
"Toy Story 4","tt1979376","2019","100 min"
"Ford v Ferrari","tt1950186","2019","152 min"
"Learning to Skateboard in a Warzone (If You're a Girl)","tt10397932","2019","39 min"
"Bao","tt8075496","2018","8 min"
"Free Solo","tt7775622","2018","100 min"
"BlacKkKlansman","tt7349662","2018","135 min"
"Skin","tt7332306","2018","21 min"
"If Beale Street Could Talk","tt7125860","2018","119 min"
"Green Book","tt6966692","2018","130 min"
"Period. End of Sentence.","tt6939026","2018","26 min"
"Vice","tt6266538","2018","132 min"
"Roma","tt6155172","2018","135 min"
"The Favourite","tt5083738","2018","119 min"
"Spider-Man: Into the Spider-Verse","tt4633694","2018","117 min"
"Black Panther","tt1825683","2018","134 min"
"Bohemian Rhapsody","tt1727824","2018","134 min"
"A Star Is Born","tt1517451","2018","136 min"
"First Man","tt1213641","2018","141 min"
"Dear Basketball","tt6794476","2017","6 min"
"Icarus","tt6333060","2017","120 min"
"The Silent Child","tt6186970","2017","20 min"
"Phantom Thread","tt5776858","2017","130 min"
"Call Me by Your Name","tt5726616","2017","132 min"
"A Fantastic Woman","tt5639354","2017","104 min"
"The Shape of Water","tt5580390","2017","123 min"
"I, Tonya","tt5580036","2017","119 min"
"Get Out","tt5052448","2017","104 min"
"Three Billboards Outside Ebbing, Missouri","tt5027774","2017","115 min"
"Dunkirk","tt5013056","2017","106 min"
"Darkest Hour","tt4555426","2017","125 min"
"Coco","tt2380307","2017","105 min"
"Blade Runner 2049","tt1856101","2017","164 min"
"The White Helmets","tt6073176","2016","41 min"
"Piper","tt5613056","2016","6 min"
"O.J.: Made in America","tt5275892","2016","467 min"
"The Salesman","tt5186714","2016","124 min"
"Heaven is a Traffic Jam on the 405","tt5095260","2016","40 min"
"Moonlight","tt4975722","2016","111 min"
"Sing","tt4571288","2016","25 min"
"Manchester by the Sea","tt4034228","2016","137 min"
"La La Land","tt3783958","2016","128 min"
"Fantastic Beasts and Where to Find Them","tt3183660","2016","132 min"
"The Jungle Book","tt3040964","2016","106 min"
"Zootopia","tt2948356","2016","108 min"
"Fences","tt2671706","2016","139 min"
"Arrival","tt2543164","2016","116 min"
"Hacksaw Ridge","tt2119532","2016","139 min"
"Suicide Squad","tt1386697","2016","123 min"
"A Girl in the River: The Price of Forgiveness","tt5144072","2015","40 min"
"Stutterer","tt4817576","2015","12 min"
"Son of Saul","tt3808342","2015","107 min"
"Bridge of Spies","tt3682448","2015","142 min"
