"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName"
"Best Actor in a Leading Role","Winner","The Last Command, The Way of All Flesh","01-1929","tt0019071","The Last Command","nm0417837","Emil Jannings",NA,NA
"Best Actor in a Leading Role","Winner","The Last Command, The Way of All Flesh","01-1929","tt0019553","The Way of All Flesh","nm0417837","Emil Jannings",NA,NA
"Best Actor in a Leading Role",NA,"The Patent Leather Kid","01-1929","tt0018253","The Patent Leather Kid","nm0001932","Richard Barthelmess",NA,NA
"Best Actor in a Leading Role",NA,"The Noose","01-1929","tt0019217","The Noose","nm0001932","Richard Barthelmess",NA,NA
"Best Actress in a Leading Role","Winner","7th Heaven, Street Angel, Sunrise","01-1929","tt0018379","7th Heaven","nm0310980","Janet Gaynor",NA,NA
"Best Actress in a Leading Role","Winner","7th Heaven, Street Angel, Sunrise","01-1929","tt0019429","Street Angel","nm0310980","Janet Gaynor",NA,NA
"Best Actress in a Leading Role","Winner","7th Heaven, Street Angel, Sunrise","01-1929","tt0018455","Sunrise","nm0310980","Janet Gaynor",NA,NA
"Best Actress in a Leading Role",NA,"Sadie Thompson","01-1929","tt0019344","Sadie Thompson","nm0841797","Gloria Swanson",NA,NA
"Best Actress in a Leading Role",NA,"A Ship Comes In","01-1929","tt0018389","A Ship Comes In","nm0237571","Louise Dresser",NA,NA
"Best Art Direction","Winner","William Cameron Menzies","01-1929","tt0019451","Tempest","nm0580017","William Cameron Menzies",NA,NA
"Best Art Direction","Winner","William Cameron Menzies","01-1929","tt0017822","The Dove","nm0580017","William Cameron Menzies",NA,NA
"Best Art Direction",NA,"Harry Oliver","01-1929","tt0018379","7th Heaven","nm0646856","Harry Oliver",NA,NA
"Best Art Direction",NA,"Rochus Gliese","01-1929","tt0018455","Sunrise","nm0322843","Rochus Gliese",NA,NA
"Best Cinematography","Winner","Charles Rosher, Karl Struss","01-1929","tt0018455","Sunrise","nm0003546","Charles Rosher",NA,NA
"Best Cinematography","Winner","Charles Rosher, Karl Struss","01-1929","tt0018455","Sunrise","nm0835365","Karl Struss",NA,NA
"Best Cinematography",NA,"George Barnes","01-1929","tt0019344","Sadie Thompson","nm0055604","George Barnes",NA,NA
"Best Cinematography",NA,"George Barnes","01-1929","tt0017806","The Devil Dancer","nm0055604","George Barnes",NA,NA
"Best Cinematography",NA,"George Barnes","01-1929","tt0018129","The Magic Flame","nm0055604","George Barnes",NA,NA
"Best Director, Comedy Picture","Winner","Two Arabian Knights","01-1929","tt0018515","Two Arabian Knights","nm0587277","Lewis Milestone",NA,NA
"Best Director, Comedy Picture",NA,"Speedy","01-1929","tt0019412","Speedy","nm0928514","Ted Wilde",NA,NA
"Best Director, Dramatic Picture","Winner","7th Heaven","01-1929","tt0018379","7th Heaven","nm0097648","Frank Borzage",NA,NA
"Best Director, Dramatic Picture",NA,"Sorrell and Son","01-1929","tt0018429","Sorrell and Son","nm0107543","Herbert Brenon",NA,NA
"Best Director, Dramatic Picture",NA,"The Crowd","01-1929","tt0018806","The Crowd","nm0896542","King Vidor",NA,NA
"Best Effects, Engineering Effects","Winner","Roy Pomeroy","01-1929","tt0018578","Wings","nm0690120","Roy Pomeroy",NA,NA
"Best Effects, Engineering Effects",NA,NA,"01-1929",NA,NA,"nm0805521","Nugent Slaughter",NA,NA
"Best Effects, Engineering Effects",NA,NA,"01-1929",NA,NA,"nm0358518","Ralph Hammeras",NA,NA
"Best Picture, Production","Winner",NA,"01-1929","tt0018578","Wings",NA,NA,NA,NA
"Best Picture, Production",NA,NA,"01-1929","tt0018379","7th Heaven",NA,NA,NA,NA
"Best Picture, Production",NA,NA,"01-1929","tt0019304","The Racket",NA,NA,NA,NA
"Best Picture, Unique and Artistic Production","Winner",NA,"01-1929","tt0018455","Sunrise",NA,NA,NA,NA
"Best Picture, Unique and Artistic Production",NA,NA,"01-1929","tt0017743","Chang: A Drama of the Wilderness",NA,NA,NA,NA
"Best Picture, Unique and Artistic Production",NA,NA,"01-1929","tt0018806","The Crowd",NA,NA,NA,NA
"Best Writing, Adaptation","Winner","Benjamin Glazer","01-1929","tt0018379","7th Heaven","nm0322227","Benjamin Glazer",NA,NA
"Best Writing, Adaptation",NA,"Anthony Coldeway","01-1929","tt0018945","Glorious Betsy","nm0170401","Anthony Coldeway",NA,NA
"Best Writing, Adaptation",NA,"Alfred A. Cohn","01-1929","tt0018037","The Jazz Singer","nm0169879","Alfred A. Cohn",NA,NA
"Best Writing, Original Story","Winner","Ben Hecht","01-1929","tt0018526","Underworld","nm0372942","Ben Hecht",NA,NA
"Best Writing, Original Story",NA,"Lajos BirÃ³","01-1929","tt0019071","The Last Command","nm0083742","Lajos BirÃ³",NA,NA
"Best Writing, Title Writing","Winner",NA,"01-1929",NA,NA,"nm0267868","Joseph Farnham",NA,NA
"Best Writing, Title Writing",NA,NA,"01-1929",NA,NA,"nm0547938","George Marion Jr.",NA,NA
"Best Writing, Title Writing",NA,"Gerald C. Duffy","01-1929","tt0017979","The Private Life of Helen of Troy","nm0240534","Gerald C. Duffy",NA,NA
"Best Actor in a Leading Role","Winner","In Old Arizona","02-1930","tt0020018","In Old Arizona","nm0062828","Warner Baxter",NA,NA
"Best Actor in a Leading Role",NA,"Alibi","02-1930","tt0019630","Alibi","nm0606431","Chester Morris",NA,NA
"Best Actor in a Leading Role",NA,"Thunderbolt","02-1930","tt0020499","Thunderbolt","nm0051628","George Bancroft",NA,NA
"Best Actor in a Leading Role",NA,"The Patriot","02-1930","tt0019257","The Patriot","nm0832011","Lewis Stone",NA,NA
"Best Actor in a Leading Role",NA,"The Valiant","02-1930","tt0020543","The Valiant","nm0612847","Paul Muni",NA,NA
"Best Actress in a Leading Role","Winner","Coquette","02-1930","tt0019788","Coquette","nm0681933","Mary Pickford",NA,NA
"Best Actress in a Leading Role",NA,"The Broadway Melody","02-1930","tt0019729","The Broadway Melody","nm0522281","Bessie Love",NA,NA
"Best Actress in a Leading Role",NA,"The Barker","02-1930","tt0018674","The Barker","nm0173993","Betty Compson",NA,NA
"Best Actress in a Leading Role",NA,"The Divine Lady","02-1930","tt0019824","The Divine Lady","nm0341464","Corinne Griffith",NA,NA
"Best Actress in a Leading Role",NA,"The Letter","02-1930","tt0020092","The Letter","nm0247074","Jeanne Eagels",NA,NA
"Best Actress in a Leading Role",NA,"Madame X","02-1930","tt0020126","Madame X","nm0154183","Ruth Chatterton",NA,NA
