"AwardCategory","AwardWinner","PrimaryTitle","PrimaryID","SecondaryName.list","AwardCeremony","SecondaryID","SecondaryName","AwardCategory.y"
"Best Actor in a Leading Role","Winner","Emil Jannings","name/nm0417837","The Last Command, The Way of All Flesh","01-1929","title/tt0019071","The Last Command","Best Actor in a Leading Role"
"Best Actor in a Leading Role","Winner","Emil Jannings","name/nm0417837","The Last Command, The Way of All Flesh","01-1929","title/tt0019553","The Way of All Flesh","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Richard Barthelmess","name/nm0001932","The Patent Leather Kid","01-1929","title/tt0018253","The Patent Leather Kid","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Richard Barthelmess","name/nm0001932","The Noose","01-1929","title/tt0019217","The Noose","Best Actor in a Leading Role"
"Best Actress in a Leading Role","Winner","Janet Gaynor","name/nm0310980","7th Heaven, Street Angel, Sunrise","01-1929","title/tt0018379","7th Heaven","Best Actress in a Leading Role"
"Best Actress in a Leading Role","Winner","Janet Gaynor","name/nm0310980","7th Heaven, Street Angel, Sunrise","01-1929","title/tt0019429","Street Angel","Best Actress in a Leading Role"
"Best Actress in a Leading Role","Winner","Janet Gaynor","name/nm0310980","7th Heaven, Street Angel, Sunrise","01-1929","title/tt0018455","Sunrise","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Gloria Swanson","name/nm0841797","Sadie Thompson","01-1929","title/tt0019344","Sadie Thompson","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Louise Dresser","name/nm0237571","A Ship Comes In","01-1929","title/tt0018389","A Ship Comes In","Best Actress in a Leading Role"
"Best Art Direction","Winner","Tempest","title/tt0019451","William Cameron Menzies","01-1929","name/nm0580017","William Cameron Menzies","Best Art Direction"
"Best Art Direction","Winner","Tempest","title/tt0019451","William Cameron Menzies","01-1929","name/nm0580017","William Cameron Menzies","Best Art Direction"
"Best Art Direction","Winner","The Dove","title/tt0017822","William Cameron Menzies","01-1929","name/nm0580017","William Cameron Menzies","Best Art Direction"
"Best Art Direction","Winner","The Dove","title/tt0017822","William Cameron Menzies","01-1929","name/nm0580017","William Cameron Menzies","Best Art Direction"
"Best Art Direction",NA,"7th Heaven","title/tt0018379","Harry Oliver","01-1929","name/nm0646856","Harry Oliver","Best Art Direction"
"Best Art Direction",NA,"Sunrise","title/tt0018455","Rochus Gliese","01-1929","name/nm0322843","Rochus Gliese","Best Art Direction"
"Best Cinematography","Winner","Sunrise","title/tt0018455","Charles Rosher, Karl Struss","01-1929","name/nm0003546","Charles Rosher","Best Cinematography"
"Best Cinematography","Winner","Sunrise","title/tt0018455","Charles Rosher, Karl Struss","01-1929","name/nm0835365","Karl Struss","Best Cinematography"
"Best Cinematography",NA,"Sadie Thompson","title/tt0019344","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"Sadie Thompson","title/tt0019344","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"Sadie Thompson","title/tt0019344","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"The Devil Dancer","title/tt0017806","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"The Devil Dancer","title/tt0017806","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"The Devil Dancer","title/tt0017806","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"The Magic Flame","title/tt0018129","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"The Magic Flame","title/tt0018129","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"The Magic Flame","title/tt0018129","George Barnes","01-1929","name/nm0055604","George Barnes","Best Cinematography"
"Best Director, Comedy Picture","Winner","Lewis Milestone","name/nm0587277","Two Arabian Knights","01-1929","title/tt0018515","Two Arabian Knights","Best Director, Comedy Picture"
"Best Director, Comedy Picture",NA,"Ted Wilde","name/nm0928514","Speedy","01-1929","title/tt0019412","Speedy","Best Director, Comedy Picture"
"Best Director, Dramatic Picture","Winner","Frank Borzage","name/nm0097648","7th Heaven","01-1929","title/tt0018379","7th Heaven","Best Director, Dramatic Picture"
"Best Director, Dramatic Picture",NA,"Herbert Brenon","name/nm0107543","Sorrell and Son","01-1929","title/tt0018429","Sorrell and Son","Best Director, Dramatic Picture"
"Best Director, Dramatic Picture",NA,"King Vidor","name/nm0896542","The Crowd","01-1929","title/tt0018806","The Crowd","Best Director, Dramatic Picture"
